m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
8,Water use,Wastewater,Produced municipal wastewater,Albania,2021,0.222,10^9 m3/year,A,false
8,Water use,Wastewater,Produced municipal wastewater,Albania,2022,0.221,10^9 m3/year,A,false
8,Water use,Wastewater,Produced municipal wastewater,Albania,2023,0.226,10^9 m3/year,A,false
12,Water use,Wastewater,Produced municipal wastewater,Algeria,2021,0.018206,10^9 m3/year,X,false
12,Water use,Wastewater,Produced municipal wastewater,Algeria,2022,0.01724,10^9 m3/year,X,false
12,Water use,Wastewater,Produced municipal wastewater,Algeria,2023,0.01724,10^9 m3/year,I,false
20,Water use,Wastewater,Produced municipal wastewater,Andorra,2021,0.018206,10^9 m3/year,A,false
20,Water use,Wastewater,Produced municipal wastewater,Andorra,2022,0.01724,10^9 m3/year,A,false
20,Water use,Wastewater,Produced municipal wastewater,Andorra,2023,0.01667,10^9 m3/year,A,false
32,Water use,Wastewater,Produced municipal wastewater,Argentina,2021,2.458,10^9 m3/year,I,false
32,Water use,Wastewater,Produced municipal wastewater,Argentina,2022,2.458,10^9 m3/year,I,false
32,Water use,Wastewater,Produced municipal wastewater,Argentina,2023,2.458,10^9 m3/year,I,false
51,Water use,Wastewater,Produced municipal wastewater,Armenia,2021,0.159,10^9 m3/year,A,false
51,Water use,Wastewater,Produced municipal wastewater,Armenia,2022,0.128,10^9 m3/year,A,false
51,Water use,Wastewater,Produced municipal wastewater,Armenia,2023,0.128,10^9 m3/year,I,false
36,Water use,Wastewater,Produced municipal wastewater,Australia,2021,2.094,10^9 m3/year,I,false
36,Water use,Wastewater,Produced municipal wastewater,Australia,2022,2.094,10^9 m3/year,I,false
36,Water use,Wastewater,Produced municipal wastewater,Australia,2023,2.094,10^9 m3/year,I,false
53,Water use,Wastewater,Produced municipal wastewater,Australia and New Zealand,2021,2.094,10^9 m3/year,E,true
53,Water use,Wastewater,Produced municipal wastewater,Australia and New Zealand,2022,2.094,10^9 m3/year,E,true
53,Water use,Wastewater,Produced municipal wastewater,Australia and New Zealand,2023,2.094,10^9 m3/year,E,true
40,Water use,Wastewater,Produced municipal wastewater,Austria,2021,1.07395,10^9 m3/year,A,false
40,Water use,Wastewater,Produced municipal wastewater,Austria,2022,1.07395,10^9 m3/year,I,false
40,Water use,Wastewater,Produced municipal wastewater,Austria,2023,1.07395,10^9 m3/year,I,false
31,Water use,Wastewater,Produced municipal wastewater,Azerbaijan,2021,1.2107,10^9 m3/year,X,false
31,Water use,Wastewater,Produced municipal wastewater,Azerbaijan,2022,1.191,10^9 m3/year,X,false
31,Water use,Wastewater,Produced municipal wastewater,Azerbaijan,2023,1.191,10^9 m3/year,I,false
48,Water use,Wastewater,Produced municipal wastewater,Bahrain,2021,0.1695425,10^9 m3/year,X,false
48,Water use,Wastewater,Produced municipal wastewater,Bahrain,2022,0.1695425,10^9 m3/year,I,false
48,Water use,Wastewater,Produced municipal wastewater,Bahrain,2023,0.1695425,10^9 m3/year,I,false
50,Water use,Wastewater,Produced municipal wastewater,Bangladesh,2021,6.044193125,10^9 m3/year,X,false
50,Water use,Wastewater,Produced municipal wastewater,Bangladesh,2022,6.044193125,10^9 m3/year,I,false
50,Water use,Wastewater,Produced municipal wastewater,Bangladesh,2023,6.044193125,10^9 m3/year,I,false
52,Water use,Wastewater,Produced municipal wastewater,Barbados,2021,0.011,10^9 m3/year,I,false
52,Water use,Wastewater,Produced municipal wastewater,Barbados,2022,0.011,10^9 m3/year,I,false
52,Water use,Wastewater,Produced municipal wastewater,Barbados,2023,0.011,10^9 m3/year,I,false
112,Water use,Wastewater,Produced municipal wastewater,Belarus,2021,0.641,10^9 m3/year,A,false
112,Water use,Wastewater,Produced municipal wastewater,Belarus,2022,0.643,10^9 m3/year,A,false
112,Water use,Wastewater,Produced municipal wastewater,Belarus,2023,0.645,10^9 m3/year,A,false
56,Water use,Wastewater,Produced municipal wastewater,Belgium,2021,0.871,10^9 m3/year,I,false
56,Water use,Wastewater,Produced municipal wastewater,Belgium,2022,0.871,10^9 m3/year,I,false
56,Water use,Wastewater,Produced municipal wastewater,Belgium,2023,0.871,10^9 m3/year,I,false
84,Water use,Wastewater,Produced municipal wastewater,Belize,2021,0.002,10^9 m3/year,I,false
84,Water use,Wastewater,Produced municipal wastewater,Belize,2022,0.002,10^9 m3/year,I,false
84,Water use,Wastewater,Produced municipal wastewater,Belize,2023,0.002,10^9 m3/year,I,false
64,Water use,Wastewater,Produced municipal wastewater,Bhutan,2021,0.0039,10^9 m3/year,I,false
64,Water use,Wastewater,Produced municipal wastewater,Bhutan,2022,0.0039,10^9 m3/year,I,false
64,Water use,Wastewater,Produced municipal wastewater,Bhutan,2023,0.0039,10^9 m3/year,I,false
68,Water use,Wastewater,Produced municipal wastewater,Bolivia (Plurinational State of),2021,0.157,10^9 m3/year,I,false
68,Water use,Wastewater,Produced municipal wastewater,Bolivia (Plurinational State of),2022,0.157,10^9 m3/year,I,false
68,Water use,Wastewater,Produced municipal wastewater,Bolivia (Plurinational State of),2023,0.157,10^9 m3/year,I,false
70,Water use,Wastewater,Produced municipal wastewater,Bosnia and Herzegovina,2021,0.0802,10^9 m3/year,A,false
70,Water use,Wastewater,Produced municipal wastewater,Bosnia and Herzegovina,2022,0.0827,10^9 m3/year,A,false
70,Water use,Wastewater,Produced municipal wastewater,Bosnia and Herzegovina,2023,0.0827,10^9 m3/year,A,false
72,Water use,Wastewater,Produced municipal wastewater,Botswana,2021,0.0401,10^9 m3/year,A,false
72,Water use,Wastewater,Produced municipal wastewater,Botswana,2022,0.04005,10^9 m3/year,I,false
72,Water use,Wastewater,Produced municipal wastewater,Botswana,2023,0.04,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2021,10.99,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2022,9.145465253,10^9 m3/year,A,false
76,Water use,Wastewater,Produced municipal wastewater,Brazil,2023,9.745773665,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2021,0.6,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2022,0.587,10^9 m3/year,A,false
100,Water use,Wastewater,Produced municipal wastewater,Bulgaria,2023,0.588,10^9 m3/year,A,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2021,0.0487,10^9 m3/year,I,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2022,0.0487,10^9 m3/year,I,false
854,Water use,Wastewater,Produced municipal wastewater,Burkina Faso,2023,0.0487,10^9 m3/year,I,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2021,0.01358334,10^9 m3/year,A,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2022,0.02841915,10^9 m3/year,A,false
132,Water use,Wastewater,Produced municipal wastewater,Cabo Verde,2023,0.02841915,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2021,0.0662,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2022,0.0662,10^9 m3/year,I,false
120,Water use,Wastewater,Produced municipal wastewater,Cameroon,2023,0.0662,10^9 m3/year,I,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2021,5.478,10^9 m3/year,A,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2022,5.795,10^9 m3/year,A,false
124,Water use,Wastewater,Produced municipal wastewater,Canada,2023,6.031,10^9 m3/year,A,false
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2021,13.0649556,10^9 m3/year,E,true
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2022,13.4439556,10^9 m3/year,E,true
143,Water use,Wastewater,Produced municipal wastewater,Central Asia,2023,12.9939556,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2021,41.637848901,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2022,42.292848725,10^9 m3/year,E,true
62,Water use,Wastewater,Produced municipal wastewater,Central and Southern Asia,2023,41.885848725,10^9 m3/year,E,true
152,Water use,Wastewater,Produced municipal wastewater,Chile,2021,1.112,10^9 m3/year,I,false
152,Water use,Wastewater,Produced municipal wastewater,Chile,2022,1.112,10^9 m3/year,I,false
152,Water use,Wastewater,Produced municipal wastewater,Chile,2023,1.112,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2021,48.51,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2022,48.51,10^9 m3/year,I,false
156,Water use,Wastewater,Produced municipal wastewater,China,2023,48.51,10^9 m3/year,I,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2021,1.630958509,10^9 m3/year,A,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2022,1.647555671,10^9 m3/year,A,false
170,Water use,Wastewater,Produced municipal wastewater,Colombia,2023,1.782,10^9 m3/year,A,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2021,0.60093965,10^9 m3/year,I,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2022,0.60093965,10^9 m3/year,I,false
188,Water use,Wastewater,Produced municipal wastewater,Costa Rica,2023,0.60093965,10^9 m3/year,I,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2021,0.363,10^9 m3/year,A,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2022,0.355,10^9 m3/year,A,false
191,Water use,Wastewater,Produced municipal wastewater,Croatia,2023,0.36,10^9 m3/year,A,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2021,2.519838565,10^9 m3/year,I,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2022,2.519838565,10^9 m3/year,I,false
192,Water use,Wastewater,Produced municipal wastewater,Cuba,2023,2.519838565,10^9 m3/year,I,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2021,0.03544,10^9 m3/year,A,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2022,0.056,10^9 m3/year,A,false
196,Water use,Wastewater,Produced municipal wastewater,Cyprus,2023,0.056,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2021,0.91,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2022,0.818,10^9 m3/year,A,false
203,Water use,Wastewater,Produced municipal wastewater,Czechia,2023,0.887,10^9 m3/year,A,false
208,Water use,Wastewater,Produced municipal wastewater,Denmark,2021,0.35288,10^9 m3/year,A,false
