region,microplastic_mean,microplastic_max,microplastic_sample_count,river_plastic_kg_total,port_count,port_pressure_score,coastal_pop_10km,gdp_mean,ph_mean,ph_min,dissolved_oxygen_mean,dissolved_oxygen_min,sst_mean,sst_max,sst_thermal_stress,wastewater_total,wastewater_countries,mismanagement_rate_mean,oil_spill_pressure,ohi_clean_water,ohi_biodiversity,score_microplastic,score_river,score_port,score_population,score_ph,score_oxygen,score_temperature,score_wastewater,score_mismanagement,score_oil,score_clean_water,score_biodiversity,pollution_index,pollution_grade,pollution_index_2030,pollution_index_2040,pollution_index_2050,pollution_index_2100,pollution_grade_2050,pollution_grade_2100,mp_growth_rate,pop_growth_rate,thermal_growth_rate,blended_growth_rate
North Atlantic Ocean,171.44059418346845,110480.0,8759.0,4167.0,1625.0,1533.0,89564709.7,42691.822113752845,8.048294,6.3062477,245.2017791605661,183.092,18.20156159336864,28.462,0.0,168.108800183,36.0,3.3611374,634.4291847925695,71.39285714285714,73.33571428571429,0.0856949121232776,0.7184482758620689,100.0,42.98540576668702,79.6297,95.53944683318645,0.0,5.671996066561803,0.0,28.12187622467316,30.496262676193485,49.48172074585227,33.94,Moderate,38.08,50.78,67.72,285.56,High,Critical,0.05,0.0028,0.005,0.0292
South Atlantic Ocean,95.600480259375,7650.333333,320.0,65702.0,142.0,132.0,23468666.8,17262.027481903293,8.042892,6.3566074,258.272443683883,180.597,15.13711787916153,27.552,0.0,304.440759918,24.0,26.685574,1.0,70.51666666666667,72.2,0.0477748455269779,11.32793103448276,8.610567514677104,11.261707318512476,84.17337,84.55955794011672,0.0,10.27184056323188,55.12768203360405,0.0443262650879905,32.33371780084583,56.48509763617674,24.89,Low,26.59,31.39,37.04,84.78,Moderate,Critical,0.03,-0.0018,0.0034,0.0167
North Pacific Ocean,531.4909579649799,126000.0,5454.0,73471.0,1008.0,833.5,117975265.2,32406.137957917228,8.024077,6.5005636,239.89185347738012,174.94,20.469295233008413,29.719,0.4692952330084132,1475.97,12.0,26.685574,2255.998780891949,66.21,71.45,0.2657201397525762,12.66741379310345,54.37051532941945,56.62143987527549,100.0,100.0,100.0,49.799273002067466,55.12768203360405,100.0,41.36520918527841,61.10996916752309,52.19,High,57.83,74.76,96.63,348.73,Critical,Critical,0.05,-0.0101,0.0053,0.026
South Pacific Ocean,1.168289805456702,122.0,843.0,536861.0,181.0,145.5,11695996.4,23892.683381615963,8.033636,7.707102,242.8144814875761,180.74,18.368922448979596,29.919,0.0,1044.272202661,30.0,26.685574,23.573237702620887,85.935,77.655,0.0005587383039448,92.56224137931034,9.49119373776908,5.611253383404806,91.95953,97.54487380725908,0.0,35.233776098962345,55.12768203360405,1.044913583388586,0.0,22.846865364850963,36.56,Moderate,40.83,53.82,70.93,282.16,Critical,Critical,0.05,-0.0003,0.0031,0.028
Indian Ocean,4074.995613753886,800000.0,772.0,163933.0,464.0,439.0,208354108.5,14378.198566317806,8.0355015,7.040633,241.5451317724458,163.632,18.88126866844836,29.957,0.0,2963.83844788,36.0,45.670982,28.632993702304137,45.44333333333333,73.62333333333333,2.037472917791664,28.264310344827585,28.636660143509456,100.0,90.390434,98.61117910594665,0.0,100.0,100.0,1.2691936691110963,84.91489287337039,47.70811921891057,47.09,Moderate,52.77,70.17,93.3,387.74,Critical,Critical,0.05,0.0025,0.0038,0.0289
Arctic Ocean,9.405269899193549,375.0,248.0,15000.0,29.0,21.0,200000.0,,8.090146,6.2636814,358.9337185691741,248.845,-0.3993800145878921,7.416,0.0,0.0,,26.685574,23.793226158278596,69.25833333333334,72.62,0.0046772293971875,2.586206896551724,1.36986301369863,0.093592913069748,44.425102,0.0,0.0,0.0,55.12768203360405,1.0546648499903672,34.97256300024465,53.895169578622784,10.35,Low,11.14,13.4,16.11,40.48,Low,Moderate,0.03,0.0002,0.01,0.0186
Southern Ocean,0.0508134814814814,0.499663,27.0,500.0,8.0,4.5,5000.0,,8.044189,7.972602,340.4498251533742,253.932,-0.4800820393374741,4.39,0.0,0.0,,26.685574,15.79876669394912,69.25833333333334,72.62,0.0,0.0862068965517241,0.2935420743639921,0.0,83.082375,15.527220949996758,0.0,0.0,55.12768203360405,0.7003003205393042,34.97256300024465,53.895169578622784,14.11,Low,13.95,13.57,13.19,11.47,Low,Low,-0.01,0.0029,0.01,-0.0028
Mediterranean Sea,4.332646658767772,324.0,211.0,25004.0,197.0,174.0,19343857.8,23709.702031501256,8.097389,7.9834385,245.7536153846154,212.528,18.59353846153846,22.754,0.0,356.598368444,27.0,26.685574,20.027726643430796,69.25833333333334,65.14333333333333,0.0021409171325804,4.311034482758621,11.350293542074365,9.281948907403171,38.332386,95.0758819993998,0.0,12.031639872243064,55.12768203360405,0.887754320306524,34.97256300024465,100.0,24.22,Low,23.64,22.26,20.96,15.52,Low,Low,-0.01,-0.0059,0.0047,-0.006
Caribbean Sea,296.0,,,16717.0,0.0,0.0,40000000.0,,8.05,,252.0130295342492,,,,0.0,281.919515695,21.0,26.685574,0.0,69.06,73.195,0.14797463085479,2.882241379310345,0.0,19.196146452433705,78.194565,89.81771996975826,0.0,9.511973093427336,55.12768203360405,0.0,35.388486945580375,50.34943473792398,23.42,Low,25.05,29.65,35.1,81.53,Moderate,Critical,0.03,-0.001,0.0036,0.017
Gulf of Mexico,16.46,,,45000.0,0.0,0.0,35000000.0,,8.05,,252.0130295342492,,,,0.0,0.0,,26.685574,0.0,79.03,78.38,0.0082045953437795,7.758620689655173,0.0,16.79632816859401,78.194565,89.81771996975826,0.0,0.0,55.12768203360405,0.0,14.480444584250815,18.37615621788286,20.81,Low,22.34,26.68,31.86,77.35,Moderate,Critical,0.03,0.0028,0.0037,0.0179
