region,annual_growth_rate,data_points,years_covered,r_squared,method
North Atlantic Ocean,0.05,6353,35,0.482,measured (clipped)
South Atlantic Ocean,0.03,276,10,0.014,"global fallback (trend too noisy, R2<0.3)"
North Pacific Ocean,0.05,3412,34,0.548,measured (clipped)
South Pacific Ocean,0.05,611,11,0.44,measured (clipped)
Indian Ocean,0.05,719,12,0.507,measured (clipped)
Arctic Ocean,0.03,178,7,0.157,"global fallback (trend too noisy, R2<0.3)"
Southern Ocean,-0.01,19,4,0.921,measured (clipped)
Mediterranean Sea,-0.01,211,6,0.765,measured (clipped)
Caribbean Sea,0.03,0,0,,global fallback (insufficient data)
Gulf of Mexico,0.03,0,0,,global fallback (insufficient data)
North Sea,0.03,0,0,,global fallback (insufficient data)
Baltic Sea,0.03,3,0,,global fallback (insufficient data)
Black Sea,0.03,0,0,,global fallback (insufficient data)
Red Sea,0.03,0,0,,global fallback (insufficient data)
Persian Gulf,0.03,0,0,,global fallback (insufficient data)
South China Sea,0.03,0,0,,global fallback (insufficient data)
Bay of Bengal,0.03,0,0,,global fallback (insufficient data)
Arabian Sea,0.03,0,0,,global fallback (insufficient data)
Gulf of Guinea,0.03,0,0,,global fallback (insufficient data)
Coral Sea,0.03,0,0,,global fallback (insufficient data)
Tasman Sea,0.03,0,0,,global fallback (insufficient data)
Bering Sea,0.03,0,0,,global fallback (insufficient data)
Hudson Bay,0.03,0,0,,global fallback (insufficient data)
Great Lakes,0.03,0,0,,global fallback (insufficient data)
Caspian Sea,0.03,0,0,,global fallback (insufficient data)
Lake Victoria,0.03,0,0,,global fallback (insufficient data)
Lake Tanganyika,0.03,0,0,,global fallback (insufficient data)
Lake Baikal,0.03,0,0,,global fallback (insufficient data)
Lake Superior,0.03,0,0,,global fallback (insufficient data)
Lake Huron,0.03,0,0,,global fallback (insufficient data)
Aegean Sea,0.03,0,0,,global fallback (insufficient data)
Gulf of Thailand,0.03,0,0,,global fallback (insufficient data)
Lake Michigan,0.03,0,0,,global fallback (insufficient data)
Lake Erie,0.03,0,0,,global fallback (insufficient data)
Lake Ontario,0.03,0,0,,global fallback (insufficient data)
